i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, I.est, M.est, D
1, 1993, 3, 67780, 0.210721552898105, 0.182379221258863, 0.713071819956078, 0.713071819956078, 0.210721552898105, 0.182379221258863, 3706.90429126706, 156.224925740089, 533.601416433918, 781.124628700445, 533.601416433918, 781.124628700445, 533.601416433918, 1705.79489562918
1, 1993, 4, 67780, 0.193010679601437, 0.948896315421268, 0.714627048973306, 0.714627048973306, 0.193010679601437, 0.948896315421268, 686.383350503516, 26.495863389559, 525.597496538002, 132.479316947795, 525.597496538002, 132.479316947795, 525.597496538002, 20.2286170156261
1, 1993, 5, 67780, 0.463170837190491, 1, NA, NA, 0.463170837190491, 1, 8.07792000209281, 0.748291394025428, 4.33646303196567, 3.74145697012714, 4.33646303196567, 3.74145697012714, 4.33646303196567, NA
1, 1994, 1, 67780, 0, 0, 0.994077100257246, 0.994077100257246, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 67378.5458554361
1, 1994, 2, 67780, 0.000609638312760841, 0.00512737074533076, 0.713071819956078, 0.713071819956078, 0.000609638312760841, 0.00512737074533076, 401.454144563861, 0.0489483654685517, 2.05714935434285, 0.244741827342759, 2.05714935434285, 0.244741827342759, 2.05714935434285, 284.624223758797
1, 1994, 3, 67780, 0.0798097139345111, 0.165155553897545, 0.714627048973306, 0.714627048973306, 0.0798097139345111, 0.165155553897545, 114.528029623378, 1.828089856345, 17.4053442052477, 9.140449281725, 17.4053442052477, 9.140449281725, 17.4053442052477, 62.8744857722318
1, 1994, 4, 67780, 0.463170837190491, 0.948896315421268, 0.641206108448192, 0.641206108448192, 0.463170837190491, 0.948896315421268, 25.1077503641734, 2.32583555122881, 12.7897678848971, 11.629177756144, 12.7897678848971, 11.629177756144, 12.7897678848971, 0.441665796000377
1, 1994, 5, 67780, 0.307086030147149, 1, NA, NA, 0.307086030147149, 1, 0.247138927131893, 0.0151785824055517, 0.171246015104134, 0.0758929120277585, 0.171246015104134, 0.0758929120277585, 0.171246015104134, NA
1, 1995, 1, 67780, 0, 0, 0.998109923234021, 0.998109923234021, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 67651.8905968019
1, 1995, 2, 67780, 0.000214323040078845, 0.00715452607105982, 0.714627048973306, 0.714627048973306, 0.000214323040078845, 0.00715452607105982, 128.109403198061, 0.00549135935121899, 0.916365624760223, 0.0274567967560949, 0.916365624760223, 0.0274567967560949, 0.916365624760223, 90.8759637213187
1, 1995, 3, 67780, 0.214377428673148, 0.222858562109657, 0.641206108448192, 0.641206108448192, 0.214377428673148, 0.222858562109657, 36.289617055226, 1.55593495836651, 6.3536847386492, 7.77967479183257, 6.3536847386492, 7.77967479183257, 6.3536847386492, 14.2067276652172
1, 1995, 4, 67780, 0.307086030147149, 0.948896315421268, 0.311620317161846, 0.311620317161846, 0.307086030147149, 0.948896315421268, 7.94952985952701, 0.488237913219675, 5.22684380852094, 2.44118956609837, 5.22684380852094, 2.44118956609837, 5.22684380852094, 0.0877200239068816
1, 1995, 5, 67780, 0.526471369007643, 1, NA, NA, 0.526471369007643, 1, 0.193776461000816, 0.0204035517409112, 0.0917587022962603, 0.102017758704556, 0.0917587022962603, 0.102017758704556, 0.0917587022962603, NA
1, 1996, 1, 67780, 0, 0, 0.998160822962767, 0.998160822962767, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 67655.3405804163
1, 1996, 2, 67780, 0.000621595393245244, 0.0175162611688239, 0.641206108448192, 0.641206108448192, 0.000621595393245244, 0.0175162611688239, 124.659419583651, 0.0154975441875647, 2.18220965542392, 0.0774877209378237, 2.18220965542392, 0.0774877209378237, 2.18220965542392, 78.483449551676
1, 1996, 3, 67780, 0.132627364988479, 0.462341157660743, 0.311620317161846, 0.311620317161846, 0.132627364988479, 0.462341157660743, 43.9162726556137, 1.16489990448593, 17.6113944877467, 5.82449952242964, 17.6113944877467, 5.82449952242964, 17.6113944877467, 6.38210208908589
1, 1996, 4, 67780, 0.526471369007643, 0.948896315421268, 0.718562177973642, 0.718562177973642, 0.526471369007643, 0.948896315421268, 14.0982765563515, 1.48446779185414, 6.33477258785224, 7.42233895927072, 6.33477258785224, 7.42233895927072, 6.33477258785224, 0.245148272079638
1, 1996, 5, 67780, 0.314622176458205, 1, NA, NA, 0.314622176458205, 1, 0.0960167371488751, 0.00604179896363889, 0.0658077423306806, 0.0302089948181945, 0.0658077423306806, 0.0302089948181945, 0.0658077423306806, NA
1, 1997, 1, 67780, 0, 0, 0.994191605205206, 0.994191605205206, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 67386.3070008089
